i,raw_vocab,category,decoded,metrics,main_metric,metric_names,main_metric_name,verification,max_prob,magic,reencoded_ids,reencoded,model
29588,▁hyperlink,OK, hyperlink,"[34.210746, 36.254669, 10.055224]",34.210746,,,"[0.9218181818181918, 0.9232727272727372, 0.9043636363636458]",0.9232727272727372,strong_verified,,,sentence-t5-xxl
29797,viction,OK,viction,"[35.140688, 37.167645, 29.681062]",35.140688,,,"[0.9229090909091009, 0.9254545454545555, 0.9021818181818275]",0.9254545454545555,strong_verified,,,sentence-t5-xxl
31530,▁underscore,OK, underscore,"[36.158095, 38.289401, 38.212145]",36.158095,,,"[0.9349090909091012, 0.9374545454545559, 0.9243636363636464]",0.9374545454545559,strong_verified,,,sentence-t5-xxl
32072,<extra_id_27>,OK_SPECIAL, <extra_id_27>,"[52.575596, 55.799417, 70.565607]",52.575596,,,"[0.9749090909091024, 0.977454545454557, 0.9698181818181931]",0.977454545454557,strong_verified,,,sentence-t5-xxl
102,[SEP],OK_SPECIAL,[SEP],"[44.604511, 233.804738, 491.003734]",44.604511,,,"[0.9141818181818279, 0.9916363636363755, 0.9985454545454666]",0.9985454545454666,strong_verified,,,sup-simcse-bert-base-uncased
1029,?,OK,?,"[46.142108, 151.61969, 249.493769]",46.142108,,,"[0.8625454545454628, 0.9360000000000104, 0.9498181818181926]",0.9498181818181926,strong_verified,,,sup-simcse-bert-base-uncased
1134,ʌ,OK,ʌ,"[39.587654, 72.368315, 96.210191]",39.587654,,,"[0.7952727272727336, 0.8607272727272809, 0.8640000000000083]",0.8640000000000083,weak_verified,,,sup-simcse-bert-base-uncased
1237,ր,OK,ր,"[36.543371, 147.289714, 216.813075]",36.543371,,,"[0.8061818181818249, 0.9261818181818282, 0.9309090909091011]",0.9309090909091011,strong_verified,,,sup-simcse-bert-base-uncased
1280,ر,OK,ر,"[36.502372, 88.747597, 115.662363]",36.502372,,,"[0.8018181818181883, 0.8803636363636451, 0.8840000000000089]",0.8840000000000089,strong_verified,,,sup-simcse-bert-base-uncased
1686,り,OK,り,"[41.49107, 40.371448, 26.692105]",41.49107,,,"[0.7890909090909153, 0.8389090909090985, 0.8440000000000077]",0.8440000000000077,weak_verified,,,sup-simcse-bert-base-uncased
1689,ろ,OK,ろ,"[37.004787, 100.430222, 109.269401]",37.004787,,,"[0.8007272727272793, 0.9374545454545559, 0.9400000000000105]",0.9400000000000105,strong_verified,,,sup-simcse-bert-base-uncased
1735,ロ,OK,ロ,"[42.891393, 54.299137, 58.065438]",42.891393,,,"[0.7876363636363698, 0.8494545454545533, 0.8476363636363715]",0.8494545454545533,weak_verified,,,sup-simcse-bert-base-uncased
1738,・,OK,・,"[40.613581, 82.554522, 64.454004]",40.613581,,,"[0.8785454545454633, 0.9490909090909198, 0.9509090909091017]",0.9509090909091017,strong_verified,,,sup-simcse-bert-base-uncased
2208,game,OK,game,"[41.618943, 52.998195, 94.721579]",41.618943,,,"[0.7890909090909153, 0.8392727272727348, 0.8629090909090992]",0.8629090909090992,weak_verified,,,sup-simcse-bert-base-uncased
2852,dr,OK,dr,"[39.992683, 95.948877, 146.48781]",39.992683,,,"[0.7854545454545515, 0.8283636363636436, 0.8323636363636437]",0.8323636363636437,weak_verified,,,sup-simcse-bert-base-uncased
4214,calling,OK,calling,"[40.746686, 133.476424, 161.264169]",40.746686,,,"[0.7996363636363701, 0.8610909090909173, 0.8563636363636444]",0.8610909090909173,weak_verified,,,sup-simcse-bert-base-uncased
5786,62,OK,62,"[40.547809, 14.138923, 106.235081]",40.547809,,,"[0.811272727272734, 0.8516363636363716, 0.8487272727272805]",0.8516363636363716,weak_verified,,,sup-simcse-bert-base-uncased
5993,agree,OK,agree,"[36.213549, 15.894854, 18.93471]",36.213549,,,"[0.7952727272727336, 0.8585454545454627, 0.8556363636363717]",0.8585454545454627,weak_verified,,,sup-simcse-bert-base-uncased
8657,andrea,OK,andrea,"[39.899445, 123.278984, 239.832722]",39.899445,,,"[0.7970909090909155, 0.813090909090916, 0.8276363636363709]",0.8276363636363709,weak_verified,,,sup-simcse-bert-base-uncased
9248,victories,OK,victories,"[41.069916, 84.227182, 66.018124]",41.069916,,,"[0.7938181818181881, 0.843272727272735, 0.8483636363636442]",0.8483636363636442,weak_verified,,,sup-simcse-bert-base-uncased
10750,yield,OK,yield,"[40.148615, 41.52202, 73.968171]",40.148615,,,"[0.7912727272727335, 0.8378181818181893, 0.8476363636363715]",0.8476363636363715,weak_verified,,,sup-simcse-bert-base-uncased
14846,eduardo,OK,eduardo,"[39.295128, 12.243538, 12.35143]",39.295128,,,"[0.8160000000000069, 0.8527272727272807, 0.8425454545454623]",0.8527272727272807,weak_verified,,,sup-simcse-bert-base-uncased
14916,ren,OK,ren,"[37.244725, 170.492926, 324.893626]",37.244725,,,"[0.7938181818181881, 0.8610909090909173, 0.863636363636372]",0.863636363636372,weak_verified,,,sup-simcse-bert-base-uncased
18540,203,OK,203,"[46.205542, 146.742435, 276.871831]",46.205542,,,"[0.8007272727272793, 0.8120000000000068, 0.8123636363636432]",0.8123636363636432,weak_verified,,,sup-simcse-bert-base-uncased
19714,640,OK,640,"[41.573968, 97.296554, 135.660367]",41.573968,,,"[0.7974545454545519, 0.8018181818181883, 0.8134545454545523]",0.8134545454545523,weak_verified,,,sup-simcse-bert-base-uncased
24474,vigor,OK,vigor,"[39.788641, 7.372876, 8.697327]",39.788641,,,"[0.792727272727279, 0.8338181818181892, 0.8454545454545532]",0.8454545454545532,weak_verified,,,sup-simcse-bert-base-uncased
1005,',OK,',"[70.537918, 190.702018, 361.333998]",70.537918,,,"[0.9767272727272842, 0.9945454545454665, 0.9956363636363756]",0.9956363636363756,strong_verified,,,sup-simcse-bert-large-uncased
1025,;,OK,;,"[65.466483, 203.726112, 365.201596]",65.466483,,,"[0.9880000000000119, 0.99018181818183, 0.99018181818183]",0.99018181818183,strong_verified,,,sup-simcse-bert-large-uncased
1033,],OK,],"[53.832536, 229.362256, 420.623402]",53.832536,,,"[0.9789090909091025, 0.9960000000000121, 0.992000000000012]",0.9960000000000121,strong_verified,,,sup-simcse-bert-large-uncased
1112,ɔ,OK,ɔ,"[55.925854, 221.152621, 460.948678]",55.925854,,,"[0.974545454545466, 0.9887272727272846, 0.99018181818183]",0.99018181818183,strong_verified,,,sup-simcse-bert-large-uncased
2343,president,OK,president,"[54.347307, 213.476888, 404.654763]",54.347307,,,"[0.9781818181818297, 0.993090909090921, 0.9909090909091028]",0.993090909090921,strong_verified,,,sup-simcse-bert-large-uncased
3649,whatever,OK,whatever,"[55.326395, 157.43014, 389.450612]",55.326395,,,"[0.9789090909091025, 0.99018181818183, 0.9912727272727392]",0.9912727272727392,strong_verified,,,sup-simcse-bert-large-uncased
10584,contestants,OK,contestants,"[56.401718, 280.970918, 534.106244]",56.401718,,,"[0.9796363636363752, 0.9960000000000121, 0.9952727272727393]",0.9960000000000121,strong_verified,,,sup-simcse-bert-large-uncased
10832,contestant,OK,contestant,"[49.986609, 91.081982, 97.136853]",49.986609,,,"[0.9756363636363751, 0.9927272727272847, 0.993090909090921]",0.993090909090921,strong_verified,,,sup-simcse-bert-large-uncased
11543,differently,OK,differently,"[52.998159, 126.714359, 301.066727]",52.998159,,,"[0.9738181818181932, 0.9941818181818302, 0.9952727272727393]",0.9952727272727393,strong_verified,,,sup-simcse-bert-large-uncased
17128,accidental,OK,accidental,"[56.096517, 189.53636, 408.55134]",56.096517,,,"[0.9763636363636479, 0.9898181818181937, 0.993090909090921]",0.993090909090921,strong_verified,,,sup-simcse-bert-large-uncased
17846,continents,OK,continents,"[55.771138, 240.881422, 521.490711]",55.771138,,,"[0.9818181818181935, 0.9909090909091028, 0.9909090909091028]",0.9909090909091028,strong_verified,,,sup-simcse-bert-large-uncased
2,</s>,OK_SPECIAL,</s>,"[49.407437, 81.505366, 186.658237]",49.407437,,,"[0.9872727272727391, 0.9621818181818292, 0.9661818181818294]",0.9872727272727391,strong_verified,,,sup-simcse-roberta-base
89,Ġthere,OK, there,"[52.118384, 113.4229, 197.871041]",52.118384,,,"[0.9581818181818291, 0.8974545454545547, 0.9138181818181915]",0.9581818181818291,strong_verified,,,sup-simcse-roberta-base
93,ĠâĢĶ,OK, —,"[41.691269, 99.736403, 185.782755]",41.691269,,,"[0.9589090909091019, 0.9330909090909194, 0.9290909090909193]",0.9589090909091019,strong_verified,,,sup-simcse-roberta-base
345,ĠThere,OK, There,"[57.749429, 154.260936, 332.952397]",57.749429,,,"[0.9749090909091024, 0.9450909090909196, 0.9556363636363745]",0.9749090909091024,strong_verified,,,sup-simcse-roberta-base
