sentence-t5-base,gte-base-en-v1.5,bge-base-en-v1.5,instructor-base,e5-base,sup-simcse-bert-base-uncased,all-mpnet-base-v2,UAE-Large-V1
0.8086,0.2524,0.532,0.8154,0.822,0.738,0.2189,0.504
0.7954,0.3853,0.597,0.869,0.7656,0.5796,0.2428,0.5557
0.763,0.4375,0.5747,0.8374,0.722,0.571,0.2314,0.4878
0.792,0.4712,0.4778,0.8286,0.799,0.564,0.1709,0.486
0.8027,0.3865,0.54,0.8247,0.7563,0.6577,0.1733,0.512
0.7583,0.3247,0.551,0.8564,0.7812,0.4846,0.3152,0.501
0.7954,0.512,0.4856,0.826,0.7275,0.8145,0.2013,0.3794
0.8223,0.3745,0.597,0.826,0.7427,0.5483,0.1403,0.4924
0.793,0.413,0.638,0.8164,0.7837,0.6533,0.25,0.526
0.8105,0.303,0.657,0.8003,0.6704,0.595,0.0808,0.539
0.81,0.4482,0.4207,0.878,0.738,0.626,0.197,0.423
0.787,0.408,0.4343,0.853,0.749,0.8105,0.2472,0.514
0.8076,0.3975,0.533,0.8213,0.8325,0.638,0.0993,0.4531
0.788,0.395,0.554,0.804,0.732,0.7065,0.1415,0.507
0.819,0.4307,0.5186,0.853,0.7407,0.715,0.1434,0.553
0.834,0.3298,0.406,0.855,0.744,0.5054,0.0989,0.4607
0.7734,0.3904,0.4387,0.8096,0.7407,0.5186,0.09045,0.5283
0.8003,0.5444,0.583,0.875,0.724,0.5996,0.1932,0.4446
0.8276,0.349,0.483,0.8364,0.789,0.4124,0.2925,0.56
0.8286,0.3271,0.682,0.8267,0.7686,0.447,0.12195,0.4812
0.809,0.3345,0.5615,0.8213,0.7324,0.4836,0.1566,0.4448
0.7803,0.2476,0.546,0.827,0.685,0.515,0.2196,0.5186
0.827,0.45,0.549,0.827,0.8013,0.6523,0.2717,0.4497
0.7954,0.4045,0.4639,0.848,0.7017,0.554,0.1204,0.5327
0.796,0.3528,0.518,0.816,0.7495,0.5957,0.10803,0.4956
0.801,0.2559,0.5166,0.8276,0.7373,0.4575,0.2102,0.4578
0.7964,0.3933,0.5513,0.8125,0.7476,0.8994,0.1982,0.5093
0.7876,0.375,0.6133,0.8315,0.8643,0.5835,0.1667,0.5186
0.8,0.4204,0.5015,0.8584,0.7085,0.539,0.3943,0.515
0.8296,0.4204,0.4927,0.8203,0.6904,0.4692,0.2426,0.504
0.7896,0.5283,0.542,0.8276,0.7456,0.447,0.1995,0.482
0.7676,0.2903,0.4785,0.8633,0.7617,0.558,0.1807,0.4978
0.7793,0.383,0.5503,0.8506,0.768,0.622,0.2942,0.4937
0.7837,0.417,0.4744,0.8164,0.764,0.5264,0.1547,0.573
0.7354,0.4373,0.4182,0.884,0.815,0.6294,0.112,0.434
0.778,0.3254,0.5244,0.864,0.68,0.5806,0.12195,0.5215
0.7725,0.3645,0.544,0.846,0.7046,0.6953,0.1393,0.6226
0.8286,0.3015,0.446,0.8354,0.738,0.5776,0.1498,0.5527
0.806,0.4338,0.591,0.87,0.684,0.4531,0.1715,0.5483
0.7754,0.3374,0.539,0.7876,0.688,0.585,0.1252,0.6074
0.7705,0.309,0.5093,0.836,0.741,0.794,0.2605,0.457
0.7905,0.3643,0.51,0.848,0.7095,0.7812,0.118,0.4678
0.753,0.2585,0.4912,0.8506,0.736,0.58,0.1309,0.4084
0.822,0.4482,0.5576,0.8354,0.7173,0.651,0.3005,0.5107
0.7476,0.2917,0.5215,0.847,0.7173,0.4524,0.149,0.535
0.77,0.3606,0.569,0.8438,0.7715,0.426,0.236,0.467
0.7925,0.4192,0.4583,0.8047,0.7056,0.4011,0.1571,0.528
0.7695,0.369,0.5234,0.829,0.751,0.573,0.203,0.4465
0.821,0.4587,0.532,0.809,0.6943,0.667,0.1147,0.4224
0.817,0.3599,0.4634,0.842,0.7627,0.6475,0.1768,0.5522
0.785,0.4666,0.5415,0.824,0.716,0.667,0.0917,0.4907
